epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.09317,0,15.0476,0,0,0,0,0,0,7.31064,0,0,0,0
2,4.33735,0,15.1412,0,0,0,0,0,0,7.31429,0,1.802e-05,1.802e-05,1.802e-05
3,6.23194,0,15.1032,0,0,0,0,0,0,7.31864,0,3.208e-05,3.208e-05,3.208e-05
4,7.8638,0,14.9657,0,0,0,0,0,0,7.32196,0,4.218e-05,4.218e-05,4.218e-05
5,9.40377,0,14.8778,0,0,0,0,0,0,7.32427,0,4.832e-05,4.832e-05,4.832e-05
6,11.2322,0,14.8484,0,0,0,0,0,0,7.32688,0,5.05e-05,5.05e-05,5.05e-05
7,13.1518,0,14.76,0,0,0,0,0,0,7.32841,0,4.872e-05,4.872e-05,4.872e-05
8,15.0976,0,14.6348,0,0,0,0,0,0,7.32899,0,4.298e-05,4.298e-05,4.298e-05
9,16.8164,0,14.6843,0,0,0,0,0,0,7.32923,0,3.328e-05,3.328e-05,3.328e-05
10,18.3618,0,14.6185,0,0,0,0,0,0,7.33058,0,1.962e-05,1.962e-05,1.962e-05
